"","Sender","Receiver","Date","Hour","Minute","Focal"
"1","Timothy","Pamela","2022-01-01",8,22,"Timothy"
"2","Erick","Anjanetta","2022-01-01",9,15,"Anjanetta"
"3","Abdus Samad","Nawwaara","2022-01-01",11,58,"Abdus Samad"
"4","Abdus Samad","Kendell","2022-01-01",12,3,"Abdus Samad"
"6","Tiffany","Kaci","2022-01-01",14,42,"Tiffany"
"7","Charise","Nhi","2022-01-01",15,26,"Nhi"
"8","Tiffany","Saara","2022-01-01",16,12,"Tiffany"
"9","Jennell","Tiffany","2022-01-01",16,15,"Tiffany"
"10","Yeni","Tiffany","2022-01-01",16,50,"Tiffany"
"11","Saara","Kaci","2022-01-01",17,27,"Saara"
"12","Najeeba","Saara","2022-01-01",17,31,"Saara"
"14","Dawnielle","Deunna","2022-01-02",12,43,"Dawnielle"
"15","Timothy","Simone","2022-01-02",14,4,"Timothy"
"16","Anjanetta","Brie","2022-01-02",16,6,"Brie"
"17","Brie","Anastasia","2022-01-02",16,9,"Brie"
"18","Kristen","Grace","2022-01-02",17,12,"Grace"
"19","Brie","Mufliha","2022-01-03",9,38,"Brie"
"20","Mufliha","Charise","2022-01-03",11,26,"Mufliha"
"21","Sydni","Dawnielle","2022-01-03",13,36,"Dawnielle"
"22","Luis","Adyn","2022-01-03",14,20,"Adyn"
"23","Adyn","Dawnielle","2022-01-03",15,40,"Adyn"
"24","Adyn","Okatomi","2022-01-03",15,40,"Adyn"
"25","Luis","Kelia","2022-01-03",16,6,"Kelia"
"26","Adam","James","2022-01-04",7,41,"James"
"27","James","Luis","2022-01-04",7,55,"James"
"28","James","Nawwaara","2022-01-04",7,55,"James"
"29","Luis","Tiffany","2022-01-04",12,5,"Luis"
"30","Trevor","Luis","2022-01-04",12,46,"Luis"
"31","Kurtis","Yushan","2022-01-04",14,25,"Yushan"
"32","Kendell","Yushan","2022-01-04",14,49,"Yushan"
"33","Kristen","Jennell","2022-01-05",8,13,"Jennell"
"34","Shelby","James","2022-01-05",9,33,"James"
"35","James","Brie","2022-01-05",9,52,"James"
"36","Deonte","Pamela","2022-01-05",14,48,"Deonte"
"37","Jennell","Deunna","2022-01-05",15,28,"Jennell"
"38","Jennell","Shelby","2022-01-05",15,30,"Jennell"
"39","Pamela","Nhi","2022-01-05",17,2,"Nhi"
"40","Nawwaara","Nhi","2022-01-05",17,22,"Nhi"
"41","Simone","Nhi","2022-01-05",17,29,"Nhi"
"42","Mckayla","Nhi","2022-01-05",17,51,"Nhi"
"43","Trevon","Adyn","2022-01-06",7,23,"Trevon"
"44","Tiffany","Mckayla","2022-01-07",8,2,"Mckayla"
"45","Mckayla","Tahleela","2022-01-07",8,10,"Mckayla"
"46","Trevor","Lohitha","2022-01-07",10,22,"Lohitha"
"47","Timothy","Trevon","2022-01-07",11,53,"Trevon"
"48","Kendell","Nawwaara","2022-01-07",13,21,"Nawwaara"
"49","Adam","Connor","2022-01-07",14,43,"Adam"
"50","Adyn","Simone","2022-01-07",16,37,"Adyn"
"51","Connor","Nawwaara","2022-01-08",8,44,"Connor"
"52","Luis","Brie","2022-01-08",12,46,"Brie"
"53","Trevon","Deonte","2022-01-08",14,50,"Trevon"
"54","Kristen","Pamela","2022-01-08",16,24,"Pamela"
"56","Tre","Lohitha","2022-01-09",7,6,"Lohitha"
"57","Trevon","Lohitha","2022-01-09",7,8,"Lohitha"
"58","Mckayla","Sydni","2022-01-09",8,11,"Mckayla"
"59","Okatomi","Mckayla","2022-01-09",8,12,"Mckayla"
"60","Deunna","Kiana","2022-01-09",14,49,"Kiana"
"61","Deonte","Kristen","2022-01-09",16,6,"Deonte"
"62","Varun","Deonte","2022-01-09",16,31,"Deonte"
"63","Kurtis","Lahana","2022-01-10",8,44,"Kurtis"
"64","Kurtis","Abdul Ghani","2022-01-10",8,47,"Kurtis"
"65","Yeni","Jennell","2022-01-10",9,17,"Jennell"
"66","Grace","Jennell","2022-01-10",9,44,"Jennell"
"67","Shelby","Hadiyya","2022-01-11",11,57,"Shelby"
"68","Mckayla","Jennell","2022-01-11",12,58,"Jennell"
"69","Tre","Yushan","2022-01-11",13,23,"Tre"
"70","Kelia","Najeeba","2022-01-12",7,2,"Kelia"
"71","Andrew","Trevor","2022-01-12",12,32,"Trevor"
"72","Mckayla","Najeeba","2022-01-12",15,26,"Najeeba"
"73","Najeeba","Saara","2022-01-12",15,27,"Najeeba"
"74","Timothy","Ashqar","2022-01-12",16,4,"Ashqar"
"75","Ashqar","Charise","2022-01-12",16,46,"Ashqar"
"76","Varun","Tre","2022-01-12",17,5,"Varun"
"77","Okatomi","Deunna","2022-01-13",9,11,"Okatomi"
"78","Trevor","Connor","2022-01-13",10,2,"Connor"
"79","Adam","Kurtis","2022-01-13",14,34,"Adam"
"80","Pamela","Deunna","2022-01-13",15,4,"Deunna"
"81","Dawnielle","Deunna","2022-01-13",15,7,"Deunna"
"82","Kendell","Deunna","2022-01-13",15,15,"Deunna"
"83","Barcley","Nawwaara","2022-01-14",7,58,"Nawwaara"
"84","Deunna","Kelia","2022-01-15",8,58,"Kelia"
"85","Grace","Bryanna","2022-01-15",9,46,"Bryanna"
"86","Sydni","Kaci","2022-01-15",10,7,"Kaci"
"87","Afnaan","Mckayla","2022-01-15",11,37,"Mckayla"
"88","Abdul Ghani","Anjanetta","2022-01-15",12,10,"Abdul Ghani"
"90","Amelia","Hadiyya","2022-01-15",16,44,"Amelia"
"91","Anastasia","Amelia","2022-01-15",16,54,"Amelia"
"92","Ye-Ji","Makayla","2022-01-16",8,17,"Ye-Ji"
"93","Trevon","Mikaela","2022-01-16",12,14,"Mikaela"
"94","Saara","Tahleela","2022-01-17",7,14,"Saara"
"95","Afnaan","Saara","2022-01-17",7,14,"Saara"
"96","Adam","Anjanetta","2022-01-17",9,27,"Anjanetta"
"97","Najeeba","Hadiyya","2022-01-17",10,11,"Hadiyya"
"98","Sydni","Hadiyya","2022-01-17",10,34,"Hadiyya"
"99","Lohitha","Hadiyya","2022-01-17",10,45,"Hadiyya"
"100","Charise","Najeeba","2022-01-17",12,23,"Najeeba"
"101","Sydni","Najeeba","2022-01-17",12,34,"Najeeba"
"102","Abdus Samad","Timothy","2022-01-17",14,8,"Timothy"
"103","Timothy","Kelia","2022-01-17",14,48,"Timothy"
"104","Brie","Okatomi","2022-01-17",15,15,"Okatomi"
"106","Trevon","Okatomi","2022-01-17",15,41,"Okatomi"
"107","Simone","Nhi","2022-01-17",17,12,"Simone"
"108","Anastasia","Shelby","2022-01-18",7,47,"Shelby"
"109","Kiana","Kaci","2022-01-18",10,6,"Kaci"
"110","Saara","Kaci","2022-01-18",10,48,"Kaci"
"111","Brie","Amelia","2022-01-18",12,31,"Amelia"
"112","Abdus Samad","Mufliha","2022-01-18",16,13,"Abdus Samad"
"113","Kiana","Yeni","2022-01-18",17,10,"Kiana"
"114","Kiana","Saara","2022-01-18",17,13,"Kiana"
"116","Shelby","Kiana","2022-01-18",17,30,"Kiana"
"117","Sydni","Amelia","2022-01-19",9,9,"Amelia"
"118","Sydni","Amelia","2022-01-19",9,21,"Amelia"
"119","Ye-Ji","Kendell","2022-01-19",10,12,"Ye-Ji"
"120","Ye-Ji","Grace","2022-01-19",16,36,"Grace"
"121","Grace","Sydni","2022-01-19",16,59,"Grace"
"124","Tiffany","Kaci","2022-01-20",9,12,"Kaci"
"125","Kaci","Saara","2022-01-20",9,46,"Kaci"
"126","Erick","Joel","2022-01-20",10,29,"Joel"
"127","Varun","Joel","2022-01-20",10,54,"Joel"
"128","Abdus Samad","Joel","2022-01-20",11,23,"Abdus Samad"
"129","Tre","Lohitha","2022-01-20",13,24,"Tre"
"130","Mufliha","Lohitha","2022-01-20",15,10,"Lohitha"
"131","Trevon","Isaiah","2022-01-20",16,49,"Isaiah"
"132","Andrew","Lahana","2022-01-21",9,26,"Andrew"
"133","Trevon","Yushan","2022-01-21",10,23,"Yushan"
"134","Trevor","Maleeha","2022-01-21",11,11,"Maleeha"
"135","Hishaam","Maleeha","2022-01-21",11,45,"Maleeha"
"136","Ashqar","Maleeha","2022-01-21",11,49,"Maleeha"
"137","Erick","Tiffany","2022-01-21",13,27,"Erick"
"138","Kurtis","Anjanetta","2022-01-22",7,51,"Kurtis"
"139","Mikaela","Amelia","2022-01-22",9,2,"Amelia"
"140","Abdul Ghani","Kelia","2022-01-22",11,7,"Kelia"
"141","Anjanetta","Kelia","2022-01-22",11,49,"Kelia"
"142","Kelia","Dawnielle","2022-01-22",11,57,"Kelia"
"143","Andrew","Lahana","2022-01-22",14,11,"Andrew"
"144","Hadiyya","Tiffany","2022-01-22",16,10,"Hadiyya"
"145","Nhi","Hadiyya","2022-01-22",16,53,"Hadiyya"
"147","Lahana","Pamela","2022-01-22",17,54,"Lahana"
"148","Saara","Kaci","2022-01-23",7,23,"Saara"
"149","Hadiyya","Saara","2022-01-23",11,21,"Hadiyya"
"150","Deunna","Hadiyya","2022-01-23",11,56,"Hadiyya"
"151","Anastasia","Mikaela","2022-01-23",12,16,"Anastasia"
"152","Yeni","Mckayla","2022-01-23",13,13,"Yeni"
"153","Afnaan","Adyn","2022-01-23",15,54,"Adyn"
"154","Grace","Jennell","2022-01-23",16,5,"Jennell"
"155","Jennell","Sydni","2022-01-23",17,16,"Jennell"
"156","Bryanna","Jennell","2022-01-23",17,33,"Jennell"
"157","Maleeha","Ye-Ji","2022-01-24",7,17,"Maleeha"
"158","Timothy","Isaiah","2022-01-24",12,16,"Isaiah"
