"","Sender","Receiver","Date","Hour","Minute","Duration_seconds","Focal"
"1","Tiffany","Kristen","2022-11-23",14,34,29,"Tiffany"
"2","Anastasia","Kendell","2022-07-07",16,33,158,"Anastasia"
"3","Simone","Najeeba","2022-06-18",12,36,131,"Simone"
"4","Abdus Samad","Adyn","2022-01-01",11,5,96,"Abdus Samad"
"5","Kristen","Adyn","2022-07-07",8,34,53,"Adyn"
"6","Kendell","Maleeha","2022-05-17",7,13,123,"Maleeha"
"7","Anastasia","Adyn","2022-04-28",14,42,52,"Adyn"
"8","Varun","Tre","2022-11-11",9,5,47,"Varun"
"9","Kendell","Ye-Ji","2022-02-14",13,51,107,"Ye-Ji"
"10","Nhi","Luis","2022-02-02",15,22,225,"Nhi"
"11","Grace","Hishaam","2022-04-28",8,19,93,"Grace"
"12","Connor","Brie","2022-07-07",14,32,132,"Connor"
"13","Nawwaara","Luis","2022-04-04",9,17,106,"Nawwaara"
"14","Hadiyya","Okatomi","2022-07-31",9,27,193,"Okatomi"
"15","Ye-Ji","Erick","2022-03-15",11,55,147,"Erick"
"16","Jennell","Lahana","2022-02-26",11,46,200,"Lahana"
"17","Barcley","Luis","2022-09-09",14,1,227,"Barcley"
"18","Amelia","Luis","2022-10-22",10,31,46,"Luis"
"19","Lahana","Anjanetta","2022-05-29",14,12,47,"Anjanetta"
"20","Andrew","Kristen","2022-04-16",10,37,88,"Andrew"
"21","Lahana","Kelia","2022-06-06",15,21,137,"Lahana"
"22","Kelia","Lohitha","2022-02-14",15,23,158,"Lohitha"
"23","Jennell","Bryanna","2022-06-30",12,11,223,"Jennell"
"24","Mufliha","Kristen","2022-06-18",13,49,55,"Kristen"
"25","Kelia","Kristen","2022-09-21",11,32,225,"Kristen"
"26","Mckayla","Shelby","2022-05-29",8,11,142,"Shelby"
"27","Connor","Luis","2022-06-30",10,24,234,"Connor"
"28","Ye-Ji","Kristen","2022-01-13",17,20,29,"Kristen"
"29","Hadiyya","Lahana","2022-06-18",16,13,113,"Lahana"
"30","Tre","Anjanetta","2022-07-19",16,50,44,"Tre"
"31","Kiana","Mikaela","2022-10-10",7,26,229,"Kiana"
"32","Adam","Anjanetta","2022-01-01",9,33,191,"Anjanetta"
"33","Andrew","Ye-Ji","2022-07-19",12,23,184,"Ye-Ji"
"34","Ashqar","Kristen","2022-08-08",9,24,84,"Ashqar"
"35","Tiffany","Lahana","2022-11-23",14,54,116,"Tiffany"
"36","Barcley","Anjanetta","2022-03-03",7,10,154,"Barcley"
"37","Charise","Lohitha","2022-12-24",11,24,173,"Charise"
"38","Tiffany","Adyn","2022-11-23",13,1,83,"Tiffany"
"39","Nhi","Jennell","2022-06-18",9,50,21,"Nhi"
"40","Deunna","Tiffany","2022-01-01",14,51,79,"Tiffany"
"41","Bryanna","Mckayla","2022-11-23",7,54,177,"Mckayla"
"42","Pamela","Lohitha","2022-02-14",15,15,187,"Lohitha"
"43","Ye-Ji","Isaiah","2022-05-29",7,51,39,"Isaiah"
"44","Hadiyya","Dawnielle","2022-03-03",11,1,125,"Dawnielle"
"45","Barcley","Adyn","2022-09-09",13,46,31,"Barcley"
"46","Bryanna","Pamela","2022-05-05",7,41,221,"Pamela"
"47","Joel","Adyn","2022-10-10",8,42,220,"Joel"
